code,title,description,credits,institution,department,prerequisites,
PHIL 101,INTRODUCTION TO PHILOSOPHY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PHIL 175,SOCIAL ETHICS ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 101,ELEMENTARY SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 102,ELEMENTARY SPANISH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 201,INTERMEDIATE SPANISH I ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 202,INTERMEDIATE SPANISH II ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SPAN 204,CIVILIZATION AND CULTURES OF HISPANOAMERICA ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ANTH 160,CULTURAL ANTHROPOLOGY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ANTH 165,PHYSICAL ANTHROPOLOGY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ANTH 181,GEOGRAPHY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ANTH 200,MUSIC AS CULTURE ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ANTH 205,PHYSICAL GEOGRAPHY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
ECON 201,MACROECONOMICS ,,3,Delgado Community College,School of Business,,,,,,,,,,
ECON 202,MICROECONOMICS ,,3,Delgado Community College,School of Business,,,,,,,,,,
POLI 180,AMERICAN GOVERNMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 112,HUMAN SEXUALITY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 127,GENERAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 217,PSYCHOLOGY OF ADJUSTMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 225,CHILD PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 226,HUMAN GROWTH AND DEVELOPMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 235,EDUCATIONAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 240,ABNORMAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
PSYC 245,SOCIAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 151,INTRODUCTORY SOCIOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 153,INTRODUCTION TO SOCIAL WELFARE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 155,Social Problems,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 250,STUDIES IN CULTURAL DIVERSITY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 255,MARRIAGE AND THE FAMILY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,,,,,
SOCI 257,SOCIAL GERONTOLOGY: AGING AND THE LIFE CYCLE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,��,,,,
BIOL 101,General Biology I (non-science majors),,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,,,,,��,,,,
BIOL 102,General Biology II (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 107,General Biology I Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 108,General Biology II Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 114,Nutrition,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 120,Introductory Plant Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 121,Introductory Plant Biology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 141,General Biology I (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 142,General Biology II (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 143,General Biology I Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 144,General Biology II Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 161,Introductory Anatomy and Physiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 163,Introductory Anatomy and Physiology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 179,Independent Studies in Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 180,Biological Issues,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 184,Biological Issues,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 201,Botany I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 203,Botany I Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 204,Plant Taxonomy,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 205,Plant Taxonomy Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 207,Comparative Anatomy,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 209,Comparative Anatomy Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 210,General Microbiology (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 211,Microbiology of Human Pathogens,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 212,General Microbiology Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 213,Introduction to Food and Water Microbiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 231,Introduction to Biological Evolution,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 235,Forensic Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 236,Forensic Biology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 245,Genetics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 246,Genetics Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 251,Human Anatomy and Physiology I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 252,Human Anatomy and Physiology II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 253,Human Anatomy and Physiology I Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 254,Human Anatomy and Physiology II Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 265,Cell Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 266,Cell Biology Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 271,Pathophysiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 272,Natural History of the Vertebrates,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
BIOL 273,Natural History of the Vertebrates Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
BIOL 279,Advanced Independent Studies in Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,��,,,,
