code,title,description,credits,institution,department,prerequisites,has_lab,course_type
ANTH 5440,Religion Magic and Witchcraft,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5666,"Shamanism, Curing and Healing",,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5721,Cultural Resources Management: Theory & Practice,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5723,Historic Site Archaeology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5765,Ethnicity in Contemp Society,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5766,Sex and Gender,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5767,Race & Racism,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5768,Anthropology and Policy,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5772,Applied Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5775,Urban Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5777,Transnational Processes,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5780,Film and Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5790,Internship in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 5801,Hist of Anthropological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5825,Contemp Archaeological Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5888,Anthropology of the Body,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 5990,Independent Study,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 5991,Advanced Field Research in Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,research
ANTH 5995,Anthro of Contemporary Issues,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 6052,Adv Cultural Anthropology,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 6091,Adv Res Problems in Urbn Anth,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 6201,Analysis Tech Writing CRM,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 6301,Material Culture,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ANTH 6801,Cultr & Soc Theory,,3,University Of New Orleans,"College of Liberal Arts, Education and Human Development",,false,lecture
ARTS 1000,Intro to the Arts,,3,University Of New Orleans,School of Arts,,false,lecture
AandS 1119,Structures of Western Thought,,3,University Of New Orleans,University of NO,,false,lecture
AandS 1120,Northnestern Thought,,3,University Of New Orleans,University of NO,,false,lecture
AandS 1160,Scientific Writing,,3,University Of New Orleans,University of NO,,false,lecture
AandS 1161,Business Writing,,3,University Of New Orleans,University of NO,,false,lecture
AandS 2900,Euro Civil Field based Learning,,3,University Of New Orleans,University of NO,,false,lecture
AandS 2999,Forms of Inquiry,,3,University Of New Orleans,University of NO,,false,lecture
AandS 3099,Honors Colloquium,,3,University Of New Orleans,University of NO,,false,seminar
AandS 3999,Senior Honors Thesis,,3,University Of New Orleans,University of NO,,false,research
AandS 4000,Honors Thesis Workshop,,3,University Of New Orleans,University of NO,,false,research
AADM 3300,Basic Overview of Theatre for,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 3301,Basic Overview of Visual Arts,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 3302,Basic Overview of Music for Ar,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4300,Basic Concepts of Development,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4302,Basics of Arts Marketing,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4303,Technology for Arts Administra,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4304,Economic Context of the Arts,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4305,Arts and the Law,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 4310,Cultural and Arts Institutions,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6090,Arts Adm Ind Study,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6200,Arts Organizations & Business,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6223,Nonprofit Finance,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6246,Arts Tech Overview,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6501,Development for Arts Orgs,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6502,Arts Admn Legal & Bus Appl,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6503,Marketing the Arts,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6506,Musical Overview Arts Administ,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6507,Research in the Arts,,3,University Of New Orleans,School of the Arts,,false,research
AADM 6508,Arts Leadership,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6509,Arts Educ for Admin,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6601,Writing & Pres for Art Adm,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6605,Seminar in Arts Administration,,3,University Of New Orleans,School of the Arts,,false,seminar
AADM 6607,Public Arts Policy,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6609,Arts and Community,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6610,Public Relations in the Arts,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6611,Branding in the Arts,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6620,Fundraising Event Planning,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6621,Grant Writing,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6690,AADM Special Topics,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6900,Practicum in Arts Admin,,3,University Of New Orleans,School of the Arts,,false,lecture
AADM 6990,Internship Arts Administration,,3,University Of New Orleans,School of the Arts,,false,research
AADM 7000,Thesis Research,,3,University Of New Orleans,School of the Arts,,false,research
AADM 7040,Examination or Report Only,,3,University Of New Orleans,School of the Arts,,false,lecture
AVIA 1010,Introduction to Aviation,,3,University Of New Orleans,College of Engineering,,false,lecture
AVIA 1020,Aviation Weather,,3,University Of New Orleans,College of Engineering,,false,lecture
AVIA 1110,Private Pilot Ground,,3,University Of New Orleans,College of Engineering,,false,lecture
AVIA 1120,Private Pilot Flight,,3,University Of New Orleans,College of Engineering,,false,lecture
AVIA 2110,Instrument Pilot Ground,,3,University Of New Orleans,College of Engineering,,false,lecture
AVIA 2120,Instrument Pilot Flight,,3,University Of New Orleans,College of Engineering,,false,lecture
BIOS 1001,Freshman Bio Seminar,,3,University Of New Orleans,College of Sciences,,false,seminar
BIOS 1002,Biology Freshman Learning Comm,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1053,Human Biol Nnci,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1063,Biodiversity Nnci,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1071,Biology II Laboratory,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1073,Biology II,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1081,Biology I Laboratory,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1083,Biology I,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1301,Human Anatomy & Phys Lab,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1303,Human Anatomy & Phys,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1311,Human Anatomy & Phys Lab,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 1313,Human Anatomy & Phys II,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2002,Internship in Biology,,3,University Of New Orleans,College of Sciences,,false,research
BIOS 2014,Population Genetics Evol Ecol,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2082,UGRAD Teaching Apprenticeship,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2090,Soph Special Topics Bio,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2092,Sophomore Research,,3,University Of New Orleans,College of Sciences,,false,research
BIOS 2114,Cell & Molecular Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2313,Nutrition,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2553,Evolution,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2663,Environmental Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2741,Micro & Human Dis Lab,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2743,Micro Human Disease Lec,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2904,Introduction Marine Zoology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 2914,Introduction Marine Science,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3091,Undergraduate Seminar,,3,University Of New Orleans,College of Sciences,,false,seminar
BIOS 3092,Independent Research,,3,University Of New Orleans,College of Sciences,,false,research
BIOS 3113,Immunology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3284,Histology & Cytology,,3,University Of New Orleans,College of Sciences,,false,lecture
