code,title,description,credits,institution,department,prerequisites
BIOS 4454,Genomics & Bioinformatics,,3,University Of New Orleans,College of Sciences,
BIOS 4490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,
BIOS 4516,Environmental Writing,,3,University Of New Orleans,College of Sciences,
BIOS 4524,Evolutionary Mechanisms,,3,University Of New Orleans,College of Sciences,
BIOS 4534,Conservation Biology,,3,University Of New Orleans,College of Sciences,
BIOS 4543,Habitats Org Biodiv,,3,University Of New Orleans,College of Sciences,
BIOS 4590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,
BIOS 4644,Animal Behavior,,3,University Of New Orleans,College of Sciences,
BIOS 4713,Advanced Microbiology,,3,University Of New Orleans,College of Sciences,
BIOS 4723,Virology,,3,University Of New Orleans,College of Sciences,
BIOS 4844,Plant Taxonomy,,3,University Of New Orleans,College of Sciences,
BIOS 4914,Biology of Fishes,,3,University Of New Orleans,College of Sciences,
BIOS 4933,Marine Ecology,,3,University Of New Orleans,College of Sciences,
BIOS 4933,Marine Ecology,,3,University Of New Orleans,College of Sciences,
BIOS 4974,Entomology,,3,University Of New Orleans,College of Sciences,
BIOS 5103,Biochemistry I,,3,University Of New Orleans,College of Sciences,
BIOS 5113,Biochemistry II,,3,University Of New Orleans,College of Sciences,
BIOS 5114,Biochemistry and Molecular Biology Laboratory,,3,University Of New Orleans,College of Sciences,
BIOS 5153,Molecular Biology,,3,University Of New Orleans,College of Sciences,
BIOS 5173,Molecular Biotechnology,,3,University Of New Orleans,College of Sciences,
BIOS 5213,Cell Biology,,3,University Of New Orleans,College of Sciences,
BIOS 5314,Comparative Vertebrate Anatomy,,3,University Of New Orleans,College of Sciences,
BIOS 5353,Comparative Animal Physiology,,3,University Of New Orleans,College of Sciences,
BIOS 5413,Developmental Biology,,3,University Of New Orleans,College of Sciences,
BIOS 5453,Human Genomics,,3,University Of New Orleans,College of Sciences,
BIOS 5454,Genomics & Bioinformatics,,3,University Of New Orleans,College of Sciences,
BIOS 5490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,
BIOS 5516,Environmental Writing,,3,University Of New Orleans,College of Sciences,
BIOS 5524,Evolutionary Mechanisms,,3,University Of New Orleans,College of Sciences,
BIOS 5534,Conservation Biology,,3,University Of New Orleans,College of Sciences,
BIOS 5543,Habitats Org Biodiv,,3,University Of New Orleans,College of Sciences,
BIOS 5590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,
BIOS 5644,Animal Behavior,,3,University Of New Orleans,College of Sciences,
BIOS 5713,Advanced Microbiology,,3,University Of New Orleans,College of Sciences,
BIOS 5723,Virology,,3,University Of New Orleans,College of Sciences,
BIOS 5844,Plant Taxonomy,,3,University Of New Orleans,College of Sciences,
BIOS 5914,Biology of Fishes,,3,University Of New Orleans,College of Sciences,
BIOS 5934,Marine Invertebrate Zoology,,3,University Of New Orleans,College of Sciences,
BIOS 5974,Entomology,,3,University Of New Orleans,College of Sciences,
BIOS 6002,Internship Health Professions,,3,University Of New Orleans,College of Sciences,
BIOS 6003,M.S. Capstone Project in BIO,,3,University Of New Orleans,College of Sciences,
BIOS 6013,Topics Biochemistry & Physio,,3,University Of New Orleans,College of Sciences,
BIOS 6022,Scientific Communication,,3,University Of New Orleans,College of Sciences,
BIOS 6023,Topics in Cell & Molec Biology,,3,University Of New Orleans,College of Sciences,
BIOS 6052,Systematics & Evol Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 6053,Topics in Systematics & Evol,,3,University Of New Orleans,College of Sciences,
BIOS 6062,Ecology & Evolution Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 6063,Topics in Ecology & Envir Sci,,3,University Of New Orleans,College of Sciences,
BIOS 6073,Spec Topics Organismal Biology,,3,University Of New Orleans,College of Sciences,
BIOS 6090,Biological Problems,,3,University Of New Orleans,College of Sciences,
BIOS 6091,Graduate Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 6093,Topics in Integrative Biology,,3,University Of New Orleans,College of Sciences,
BIOS 6096,Integrative Biology Seminar,,3,University Of New Orleans,College of Sciences,
BIOS 6113,Advanced Cell Biology,,3,University Of New Orleans,College of Sciences,
BIOS 6713,Medical Microbiology,,3,University Of New Orleans,College of Sciences,
BIOS 7000,Thesis Research,,3,University Of New Orleans,College of Sciences,
BIOS 7040,Examination or Report Only,,3,University Of New Orleans,College of Sciences,
BIOS 7050,Dissertation Research,,3,University Of New Orleans,College of Sciences,
BA 1000, Intro Business Administration,,3,University Of New Orleans,College of Business Administration,
BA 1001, Intro to Entrepreneurship,,3,University Of New Orleans,College of Business Administration,
BA 2780,App Software for Business,,3,University Of New Orleans,College of Business Administration,
BA 3010,Legal Environment of Business,,3,University Of New Orleans,College of Business Administration,
BA 3021,Business Law,,3,University Of New Orleans,College of Business Administration,
BA 3080,Corporate Social Responsblty,,3,University Of New Orleans,College of Business Administration,
BA 3090,Internship in Entrepreneurship,,3,University Of New Orleans,College of Business Administration,
BA 3091,Indep Study Entrepreneurship,,3,University Of New Orleans,College of Business Administration,
BA 3200,Leadership and Entrepreneurship,,3,University Of New Orleans,College of Business Administration,
BA 4048,International Business Law,,3,University Of New Orleans,College of Business Administration,
BA 4056,Business Planning,,3,University Of New Orleans,College of Business Administration,
BA 5048,International Business Law,,3,University Of New Orleans,College of Business Administration,
BA 5056,Business Planning,,3,University Of New Orleans,College of Business Administration,
BA 6011,HRM in Health Care Settings,,3,University Of New Orleans,College of Business Administration,
BA 6097,Spec Topic Business Admin,,3,University Of New Orleans,College of Business Administration,
BA 6780,Survey Decision Making Tools,,3,University Of New Orleans,College of Business Administration,
BA 7040,Examination or Report Only,,3,University Of New Orleans,College of Business Administration,
CHEM 1000,Freshman Seminar Chem Majors,,3,University Of New Orleans,College of Sciences,
CHEM 1001,"Lights, Camera, ACTION",,3,University Of New Orleans,College of Sciences,
CHEM 1002,"Life, Universe and Everything",,3,University Of New Orleans,College of Sciences,
CHEM 1003,Fundamentals of Environmental Chemistry,,3,University Of New Orleans,College of Sciences,
CHEM 1007,General Chemistry I Lab,,3,University Of New Orleans,College of Sciences,
CHEM 1008,Gen Chem Lab II,,3,University Of New Orleans,College of Sciences,
CHEM 1012,Introductory Chemistry,,3,University Of New Orleans,College of Sciences,
CHEM 1017,General Chemistry I,,3,University Of New Orleans,College of Sciences,
CHEM 1018,General Chemistry II,,3,University Of New Orleans,College of Sciences,
CHEM 1110,Intro Forensic Sci,,3,University Of New Orleans,College of Sciences,
CHEM 2000,Soph Seminar Chem Majors,,3,University Of New Orleans,College of Sciences,
