code,title,description,credits,institution,department,prerequisites,has_lab,course_type
SPAN 204,CIVILIZATION AND CULTURES OF HISPANOAMERICA ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ANTH 160,CULTURAL ANTHROPOLOGY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ANTH 165,PHYSICAL ANTHROPOLOGY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ANTH 181,GEOGRAPHY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ANTH 200,MUSIC AS CULTURE ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ANTH 205,PHYSICAL GEOGRAPHY ,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
ECON 201,MACROECONOMICS ,,3,Delgado Community College,School of Business,,false,lecture
ECON 202,MICROECONOMICS ,,3,Delgado Community College,School of Business,,false,lecture
POLI 180,AMERICAN GOVERNMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 112,HUMAN SEXUALITY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 127,GENERAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 217,PSYCHOLOGY OF ADJUSTMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 225,CHILD PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 226,HUMAN GROWTH AND DEVELOPMENT ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 235,EDUCATIONAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 240,ABNORMAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
PSYC 245,SOCIAL PSYCHOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 151,INTRODUCTORY SOCIOLOGY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 153,INTRODUCTION TO SOCIAL WELFARE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 155,Social Problems,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 250,STUDIES IN CULTURAL DIVERSITY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 255,MARRIAGE AND THE FAMILY ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
SOCI 257,SOCIAL GERONTOLOGY: AGING AND THE LIFE CYCLE ,,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
BIOL 101,General Biology I (non-science majors),,3,Delgado Community College,"School of Liberal Arts, Social Sciences, and Education",,false,lecture
BIOL 102,General Biology II (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 107,General Biology I Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 108,General Biology II Lab (non-science majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 114,Nutrition,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 120,Introductory Plant Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 121,Introductory Plant Biology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 141,General Biology I (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 142,General Biology II (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 143,General Biology I Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
