ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CENL 2513,Foundations of Professional Writing (Lower Level),ENGL 103,ENGL 2513,CLTR 3,ENGL 112,ENGL ***,ENGL 220,GHUM 3,GHUM 3,GHUM 3,ENGL 2070,ENGL 2535/ BUSI 2300,ENGL 2002,ENGL 2002,ENGL 2002,ENGL ***,ENGL 205,GHUM 3,ENGL 253,ENGL ***,ENGL ***,ENGL 2***,ENGL ***,ENGL ***,ENGL 2152 or 2155,,ENGL 260N,GHUM 3
CENL 2523,Creative Writing (Various Genres),ENGL 290,"ENGL 2023, 2033/53/93",ENGL 2150,ENGL 251,ENGL 2510,GHUM 3,ENGL 2150,GHUM 3,GHUM 3,ENGL 2045,GHUM 3,ENGL 2004/2005/2 007/2008/20 09,ENGL 2005,ENGL 2005/ 2007/20 08,ENGL 228,ENGL 206,GHUM 3,ENGL 271 or 272,ENGL 265,ENGL 2120,ENGL 370/71/ 72/80,ENGL 223,ENGL 2***,GHUM 3,SENL 252B,ENGL 240N GHUM 3,SENL 225S
CEVS 1103,Environmental Science,PHSC or BLGY 107,ENSC 1103,BIOL 2210 or ENVN 2210,SCIE 142,ENSC 1103,SCIE 114,BIOL 2210 or ENVN 2210,BIOL 1110,ENVS 1103,ENSC 1000,ENSC 2000,ENVS 1126,BIOL 2030,ENVS 1126,ENSC 101,GNAT 3,ENSC or BISC 211,ENSC 101,BIOL *** or GEOL ***,GNAT 3,GBIO 281,ENVS 100,GEOS 2001,EES 1002,UFOR 271B,GEOL ****,GNAT 3
CFIN 2113,Personal Finance,BADM 108,FINA ***,BUSN 1330,BUSG 125,BUSN 2130,BUSN 140,BUSN 1330,BUSN 2***,BUSN 1330,GBUS 2100,BUSI 1090,CFS 1062,FINC 1501,FIN 2020,FIN 231,FIN 201,BUSN 115,FIN 201,FINC ***,FIN 2150,FIN 123,FNAN 230,FINA ***,FIN 1330,FINC 130B,BADM 125N,
CFIN 3113,Principles of Business Finance (Upper Level),BADM ***,FINA ***,CFIN 3,BUSG ***,FINC ***,BUSN ****,FINA ***,BUSN ***,BUSN ***,FIN ***,BUSI ***,FIN 3716,FINC ***,FIN ***,FIN 301,FIN 301,FINC 318,FIN 310,FINC 302,FIN 3090,FIN 381,FNAN 300,FINA 3015,FIN 3300,FINC 330B,BADM 301N,
CFRN 1013 (3 Hr),Elementary French I,FREN 101,FREN 1013,FREN 1010,FREN 101,FREN 1010,FREN 101,FREN 1010,FREN 1010,FREN 1010,,FREN 1010,CFRN 4,FREN 1001,GHUM 4,FREN 101,FREN 101,FREN 101,FREN 101,FREN 101,FREN 1010,FREN 101,,FRNH 1001,FREN 1001,FREN 100,FREN 101N,FREN 101S
CFRN 1014 (4 Hr),(3-4 credit hours),,FREN 1013,,GHUM 4,GHUM 4,GHUM 4,,,GHUM 4,FREN 1010,GHUM 4,FREN 1001,,FREN 1001,,,,FREN 101 & FREN ***,,,,FREN 101,,,,,
CFRN 1023 (3 Hr),Elementary French II,FREN 102,FREN 1023,FREN 1020,FREN 102,GHUM 3,FREN 102,FREN 1020,FREN 1***,FREN 1020,,FREN 1020,CFRN 4,FREN 1002,GHUM 4,FREN 102,FREN 102,FREN 102,FREN 102,FREN 102,FREN 1020,FREN 102,FREN 102,FRNH 1002,FREN 1002,FREN 101,FREN 102N,FREN 102S
CFRN 1024 (4 Hr),(3-4 credit hours ),,FREN 1023,,GHUM 4,GHUM 3,GHUM 4,,,GHUM 4,FREN 1024,GHUM 4,FREN 1002,,FREN 1002,,,,FREN 102 & ***,,,,,,,,,
CFRN 2013 (3 Hr),Intermediate French I,FREN 201,FREN 2013,CLAN 3,FREN 201,GHUM 3,FREN 201,GHUM 3,FREN 2***,FREN 2010,FREN 2023,GHUM 3,FREN 2101,FREN 2101,FREN 2101,FREN 201,FREN 201,FREN 201,FREN 201,FREN 201,FREN 2010,FREN 201,FREN 201,FRNH 2001,FREN 2001,FREN 200,FREN 211N,FREN 200S
