ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CPHY 2131,Physics I Lab (Calculus Based),GNAT 1,PHYS 2111,GNAT 1,PHYS 223,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,PHYS 2108,PHYS 2108,PHYS 2108,PHYS 261L,PHYS 153L,PHYS 261,GNAT 1,PHYS 203,PHYS 2511,PLAB 223,PHYS 215,PHYS ***,PHYS 1063,SPHY 213LB,SPHY 213LN,SPHY 213S
CPHY 2133,Physics I (Calculus Based),PHYS 211,PHYS 2133,GNAT 3,PHYS 221,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,PHYS 2110,PHYS 2101,PHYS 2110,PHYS 261,PHYS 153,PHYS 201,PHYS 211,PHYS 201,PHYS 2510,PHYS 221,GNAT 3,PHYS 2007,PHYS 1061,SPHY 213B,SPHY 213N,SPHY 213S
CPHY 2141,Physics II Lab (Calculus Based),GNAT 1,PHYS 2121,GNAT 1,PHYS 224,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,PHYS 2109,PHYS 2109,PHYS 2109,PHYS 262L,PHYS 154L,PHYS 262,GNAT 1,PHYS 204,PHYS 2521,PLAB 224,PHYS 216,PHYS ***,PHYS 1065,SPHY 214LB,SPHY214L N,SPHY 214S
CPHY 2143,Physics II (Calculus Based),,PHYS 2143,GNAT 3,PHYS 228,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,PHYS 2112,GNAT 3,GNAT 3,PHYS 262,PHYS 154,,GNAT 3,PHYS ***,PHYS 2520,GNAT 3,GNAT 3,GNAT 3,PHYS 1062,,SPHY 214N,SPHY 214S
CPHY 2153,Physics III (Calculus Based),PHYS ***,PHYS 2153,GNAT 3,PHYS 229,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,PHYS 2113,GNAT 3,PHYS 2113,GNAT 3,GNAT 3,PHYS ***,PHYS 212,PHYS 202,GNAT 3,PHYS 222,GNAT 3,PHYS 2008,PHYS ***,SPHY 215B,GNAT 3,GNAT 3
CPOL 2013,Intro to American Govt,POSC 201,POLI 2013,POLI 1100,POLI 180,POLI 1100,POLI 110,POLI 1100,POLI 2010,POLI 1100,POLI 1100,POLI 1100,POLI 2051,POLI 2051,POLS 2051,POLI 151,PS 201,POLS 201,POLS 201,GOVT 101,PSCI 2010,POLI 201,POLS 110,POLS 2001,POLI 2151,SPOL 201B,SPOL 201N,SPOL 201S
CPOL 2113,Intro to State & Local Government,POSC 202,GSOC 3,GSOC 3,GSOC 3,POLI 2520,POLI 202,GSOC 3,POLI 2020,POLI 2000,POLI 1020,POLI 2100,POLI 2056,POLI 2056,POLI 2056,GSOC 3,GSOC 3,POLS ***,GSOC 3,GOVT 252,PSCI 2020,POLI 202,GSOC 3,POLS 2002,POLI ****,SPOL 211B,SPOL 211N,SPOL 211S
CPOL 2213,Intro to Comparative Govt,POSC ***,POLI 2213,GSOC 3,GSOC 3,POLI 2500,GSOC 3,GSOC 3,GSOC 3,GSOC 3,POLI 1020,GSOC 3,POLI 2053,GSOC 3,GSOC 3,POLI 203 or 204,GSOC 3,POLS ***,GSOC 3,GOVT ***,GSOC 3,GSOC 3,POLS 220,GSOC 3,POLI 2600,SPOL 232B,POLI ***,GSOC 3
CPSY 2013,Intro to Psychology,PSYC 201,PSYC 2013,PSYC 1100,PSYC 127,PSYC 2010,PSYC 201,PSYC 1100,PSYC 2015,PSYC 2010,PSYC 2010,PSYC 2010,PSYC 2000,PSYC 2000,PSYC 2000 or 2001,PSYC 152,PSY 200,PSYC 102,PSYC 101,PSYC 101,PSYC 1010,PSYC 101,PSYC 110,PSYC 2001,PSYC 1000,SPSY 201B,SPSY 201N,SPSY 201S
CPSY 2113,Developmental Psychology,PSYC 220,PSYC 2113,PSYC 2100,PSYC 226,PSYC 2120,PSYC 226,PSYC 2100,PSYC 2040,PSYC 2260,PSYC 2080,PSYC 2335,PSYC 2070,PSYC 2070,PSYC 2070,PSYC 209,PSY 202,PSYC 208,PSYC 233,PSYC 212,PSYC 2050,PSYC 204,PSYC 225,PSYC 2078,PSYC 2100,PSYC 445B,PSYC 340N,SPSY 211S
CPSY 2213,Adolescent Psychology,PSYC 206,PSYC 2083,PSYC 2220,GSOC 3,GSOC 3,PSYC 227,PSYC 2220,GSOC 3,PSYC 2045,PSYC 2040,GSOC 3,PSYC 2078,PSYC 2078,PSYC 2078,PSYC 208,ED 204,PSYC 206,PSYC 261,PSYC 210,EPSY 2020,GSOC 3,PSYC 312,PSYC 2005,PSYC 2120,CRIN 240B,GSOC 3,SPSY 221S
CPSY 2313,Child Psychology,PSYC 205,PSYC 2313,PSYC 2200,PSYC 225,PSYC 2060,PSYC 225,PSYC 2200,GSOC 3,PSYC 2250,PSYC 2030,GSOC 3,PSYC 2076,PSYC 2076,PSYC 2076,PSYC 207,GSOC 3,PSYC 205,PSYC 260,PSYC 206,EPSY 2020,PSYC 324,PSYC 311,PSYC 2003,PSYC 2110,CRIN 230B,PSYC 315N,PSYC 230S
CPSY 2413,Social Psychology,PSYC 290/ SLGY 290,PSYC 2413,PSYC 2000,PSYC 245,PSYC 2110,GSOC 3,PSYC 2000,PSYC 2100,PSYC 2040,PSYC 2070,GSOC 3,PSYC 2040,GSOC 3,PSYC 2040,PSYC 212,SOC 305,GSOC 3,GSOC 3,PSYC 211,PSYC 3060 or GSOC 3,PSYC 210,PSYC 330,GSOC 3,PSYC 2400,PSYC 342B,PSYC 444N,SPSY 241S
CPSY 2613,Educational Psychology,PSYC 210,PSYC 2613,PSYC 2250,PSYC 235,PSYC 2610,GSOC 3,PSYC 2250,GSOC 3,PSYC 2300,PSYC 2020,GSOC 3,PSYC 2060,PSYC 2060,PSYC 2060,PSYC 206,ED 300,PSYC 204,PSYC 211,PSYC ***,GSOC 3,EPSY 301,PSYC 220,GSOC 3,PSYC 2200,CRIN 220B,GSOC 3,SPSY 261S
CREL 2213,World Religions,RLGN 203,PHIL 2283,PHIL 1130,PHIL ***,GHUM 3,GHUM 3,PHIL 1130,RELG 2015,GHUM 3,PHIL ***,RELG 2110,REL 1000,RELG 2025,GHUM 3,PHIL ***,GSOC 3,GHUM 3,RELS 201,GHUM 3,PHIL 1020,GHUM 3,PHIL 231,GHUM 3,PHIL 2700,,GHUM 3,GHUM 3
CSOC 2013,Intro to Sociology,SLGY 201,SOCL 2013,SOCL 1100,SOCI 151,SOCI 2010,SOCL 201,SOCI 1100,SOCL 2015,SOCL 2000,SOCI 1010,SOCL 2010,SOCL 2001,SOCL 2001,SOCL 2001 or 2002,SOCL 105,SOC 201,SOC 201,SOCL 201,SOCI 151,SOC 1010,SOC 101,SOCI 100,SOCL 1001,SOC 1051,SSOC 201B,SSOC 201N,SSOC 201S
CSOC 2113,Social Problems,SLGY 202,SOCL 2113,SOCL 2100,SOCI 155,SOCI 2020,SOCL 202,SOCI 2100,SOCL 2120,SOCL 2050,SOCI 2020,SOCL 2020,SOCL 2501,SOCL 2501,SOCL 2501,SOCL 142,SOC 203,SOC 202,SOCL 211,SOCI 201,GSOC 3,SOC 212,SOCI 241,SOCL 2003,SOC 2962,SSOC 211B,SOCL ***,SSOC 211S
CSOC 2213,Marriage and Family,SLGY 203,SOCL 2213,SOCL 2200,SOCI 255,GSOC 3,GSOC 3,SOCI 2200,SOCL 2220,SOCL 2500,SOCI 2050,GSOC 3,SOCL 2505,SOCL 2505,SOCL 2505,SOCL 255,GSOC 3,SOC ***,GSOC 3,GSOC 3,GSOC 3,SOC 222,SOCI 305,SOCL ***,SOC 4104,SOCL 335B,SSOC 223N,SSOC 235S
CSOC 2313,Sociology of Deviance,SLGY 204,GSOC 3,SOCL 2500,GSOC 3,GSOC 3,GSOC 3,SOCI 2500,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,SOCL 2094,GSOC 3,GSOC 3,SOC 312,SOC 313,GSOC 3,GSOC 3,GSOC 3,CJ 296,SOCI 350,SOCL ***,SOC 4219,SOCL 382B & FCGS 315,SSOC 430N,GSOC 3
CSOC 2413,"Race, Class & Ethnicity",SLGY 207,SOCL 2413,GSOC 3,SOCI 250,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,SOCL 2511,GSOC 3,GSOC 3,GSOC 3,SOC 306,SOC 312,GSOC 3,SOCI 204,GSOC 3,SOC 411 or ANTH 411,SOCI 310,SOCL ***,SOC 2994,SOCL 434B,SSOC 346N,SSOC 241S
CSOC 3013,Sociological Theory,SLGY ***,SOCL ***,GSOC 3,SOCI ***,GSOC 3,SOCL ***,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,SOCL 3101,GSOC 3,GSOC 3,SOCL 465,SOC 304,SOC 401,SOCL 411,SOCI 400,GSOC 3,SOC 430,SOCI 411,SOCL ***,SOC 4086,SOCL 455B,SSOC 301N,SOCL ***
CSOC 3113,Intro to Statistical Analysis,SLGY ***,SOCL ***,GSOC 3,SOCI ***,GSOC 3,SOCL ***,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 4,GSOC 3,GSOC 3,GSOC 3,SOC 327,SOC ***,GSOC 3,SOCI 305,CJ 4200,SOC 305,SOCI 306 or 308,SOC 4071,SOC 2707,SOCL 350B,SSOC 311N,SOCL ***
CSPN 1013 (3 Hr),Elementary Spanish I,SPAN 101,SPAN 1013,SPAN 1010,SPAN 101,SPAN 1010,SPAN 101,SPAN 1010,SPAN 1010,GHUM 3,SPAN ***,SPAN 1010,SPAN ***,SPAN 1001,GHUM,SPAN 101,SPAN 101,SPAN 101,SPAN 101,SPAN 101,SPAN 1010,SPAN 101,,SPAN 1001,SPAN 1001,SSPN 101B,SSPN 101N,SSPN 101S
CSPN 1014 (4 Hr),(3-4 credit hours),,SPAN 1013,,GHUM 4,GHUM 3,GHUM 4,,,SPAN 1101,SPAN 1010,GHUM 4,SPAN 1101,,SPAN 1101,,,,SPAN 101 & SPAN ***,,,,SPAN 101,,,,,
CSPN 1023 (3 Hr),Elementary Spanish II,SPAN 102,SPAN 1023,SPAN 1020,SPAN 102,SPAN 1020,SPAN 102,SPAN 1020,SPAN 1020,GHUM 3,SPAN ***,SPAN 1020,SPAN ***,SPAN 1002,GHUM,SPAN 102,SPAN 102,SPAN 102,SPAN 102,SPAN 102,SPAN 1020,SPAN 102,SPAN 102,SPAN 1002,SPAN 1002,SSPN 102B,SSPN 102N,SSPN 102S
CSPN 1024 (4 Hr),(3-4 credit hours),,SPAN 1023,,GHUM 4,GHUM 3,GHUM 4,,,SPAN 1102,SPAN 1020,GHUM 4,SPAN 1102,,SPAN 1102,,,,SPAN 102 & SPAN ***,,,,,,,,,
CSPN 1026,Elementary Spanish I+II (6 credit hrs),SPAN 101 & 102,SPAN 1013 & 1023,,SPAN 101 & 102,SPAN 1010 & 1020,SPAN 101 & 102,,SPAN 1010 & 1020,SPAN 1101 & 1102,SPAN ***,GHUM 6,SPAN 1152,,SPAN 1101 & 1102,SPAN 101 & 102,SPAN 101 & 102,SPAN 101 & 102,SPAN 101 & 102,SPAN 101 & 102,SPAN 1010 & 1020,SPAN 101 & 102,,SPAN 1005,SPAN 1001 & 1002,,SSPN 103N,SSPN 101S & 102S
CSPN 2013 (3 Hr),Intermediate Spanish I,SPAN 201,SPAN 2013,SPAN 2010,SPAN 201,SPAN 2010,SPAN 201,SPAN 2010,SPAN 2***,SPAN 2101,SPAN ***,GHUM 3,SPAN 2101,SPAN 2101,SPAN 2101,SPAN 201,SPAN 201,SPAN 201,SPAN 201,SPAN 201,SPAN 2010,SPAN 201,SPAN 201,SPAN 2001,SPAN 2001,SPAN 201B,SSPN 201N,SSPN 201S
CSPN 2014 (4 Hr),(3-4 credit hours),SPAN ***,SPAN 2013,,GHUM 4,GHUM 3,GHUM 4,,SPAN 2***,GHUM 4,SPAN 2010,GHUM 4,SPAN ***,,GHUM,,,,SPAN 201 & SPAN ***,,,,,,,,SPAN ***,
CSPN 2023,Intermediate Spanish II,SPAN ***,SPAN 2023,SPAN 2020,SPAN 202,SPAN 2020,SPAN 202,SPAN 2020,SPAN 2***,SPAN 2102,SPAN ***,GHUM 3,SPAN 2102,SPAN 2102,SPAN 2102,SPAN 205,SPAN 202,SPAN 202,SPAN 202,SPAN 202,SPAN 2020,SPAN 202,SPAN 202,SPAN 2002,SPAN 2002,SSPN 201B,SPAN ***,SSPN 202S
CSPN 2026,Intermediate Spanish I+II (6 credit hrs),SPAN ***,SPAN 2013 & SPAN 2023,,SPAN 201 & 202,SPAN 2010 & 2020,SPAN 201 & 202,,SPAN 2***,SPAN 2101 & 2102,SPAN ***,GHUM 6,SPAN 2101 & 2102,,SPAN 2101 & 2102,SPAN 201 & 202,SPAN 201 & 202,SPAN 201 & 202,SPAN 201 & 202,SPAN 201 & 202,SPAN 2010 & 2020,SPAN 201 & 202,,SPAN 2005,SPAN 2001 & 2002,,SPAN ***,SSPN 201 & 202S
CTHE 1013,Intro to Theatre,THTR 101,THTR 1013,THTR 1000,THEA 101,THEA 1010,THEA 190,THEA 1000,THEA 1010,THTR 1020,THEA 1010,THEA 1013,THTR 1020,THTR 1020,THTR 1020,THEA 160,THEA 100,THTR 100,THEA 161,GFAR 3,THEA 2300,THEA 131,THEA 161,THEA 1091,FTA 1000,STHE 101B,GFAR 3,THEA 110S
CTHE 2103,Acting I,THTR 153,THTR 2103,THTR1300,THEA 111,GFAR 3,THEA 221,THEA 1300,GFAR 3,THTR 2025,THEA 2010,THEA 2103,THTR 1025,THTR 1025,THTR 1025,THEA 261,THEA 211,THTR 210,THEA 171,SPCH 210,THEA 2320,THEA 234,THEA 261,THEA ***,FTA 1300,STHE 201B,GFAR 3,THEA 125S
CTHE 2113,Acting II,THTR 154,THTR 2113,THTR 2110,THEA 211,GFAR 3,GFAR 3,THEA 2110,GFAR 3,GFAR 3,THEA 2020,GFAR 3,THTR 2025,THTR 2025,GFAR 3,GFAR 3,GFAR 3,THTR ***,THEA 295,SPCH ***,THEA 3320 or GFAR 3,THEA 335,THEA 265,THEA ***,FTA 2330,,GFAR 3,THEA 126S
CTHE 2203,Voice for the Stage,THTR 156,THTR 2203,THTR 1400,THEA 136,GFAR 3,GFAR 3,THEA 1400,GFAR 3,GFAR 3,GFAR 3,GFAR 3,THTR 2027,THTR 2027,GFAR 3,THEA 125,THEA 101,THTR 211,THEA 212,SPCH 217,THEA 2340,THEA 201,THEA 201,THEA ***,FTA 4300,,GFAR 3,THEA 140S
CTHE 2303,Stagecraft,THTR 112,THTR 1023,THTR 1010,THEA 103,GFAR 3,THEA 105,THEA 1010,GFAR 3,GFAR 3,GFAR 3,GFAR 3,THTR 1001,GFAR 3,GFAR 3,GFAR 3,THEA 309,THTR 101,THEA 191 or 261 or 291,SPCH ***,THEA 2310,THEA 231,THEA 251,THEA ***,FTA 1100,,GFAR 3,THEA 126S
