code,title,description,credits,institution,department,prerequisites,has_lab,course_type
ENGL 243,ETHNIC LITERATURE,,3,Delgado Community College,ENGL,,false,lecture
ENGL 244,AFRICAN-AMERICAN WRITERS,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2071,AFRICAN-AMERICAN LITERATURE I,,3,University of New Orleans,ENGL,,false,lecture
ENGL 251,CREATIVE WRITING,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2160,INTRODUCTION TO CREATIVE WRITING,,3,University of New Orleans,ENGL,,false,lecture
ENGL 253,THE BIBLE AS LITERATURE,,3,Delgado Community College,ENGL,,false,lecture
ENGL 2377,THE BIBLE AS LITERATURE,,3,University of New Orleans,ENGL,,false,lecture
CMST 130,FUNDAMENTALS OF COMMUNICATION,,3,Delgado Community College,CMST,,false,lecture
CMST 230,PUBLIC SPEAKING,,3,Delgado Community College,CMST,,false,lecture
FTA 2650,ORAL COMMUNICATIONS,,3,University of New Orleans,FTA,,false,lecture
FNAR 120,ART APPRECIATION,,3,Delgado Community College,FNAR,,false,lecture
FA 1010,ART APPRECIATION,,3,University of New Orleans,FA,,false,lecture
FNAR 125,ART HISTORY SURVEY I,,3,Delgado Community College,FNAR,,false,lecture
FA 2201,HISTORICAL SURVEY OF THE ARTS,,3,University of New Orleans,FA,,false,lecture
FNAR 126,ART HISTORY SURVEY II,,3,Delgado Community College,FNAR,,false,lecture
FA 2202,HISTORICAL SURVEY OF THE ARTS,,3,University of New Orleans,FA,,false,lecture
FNAR 127,CONTEMPORARY ART,,3,Delgado Community College,FNAR,,false,lecture
FA 2264,ART OF THE TWENTIETH CENTURY,,3,University of New Orleans,FA,,false,lecture
FNAR 158,THREE-DIMENSIONAL DESIGN,,3,Delgado Community College,FNAR,,false,lecture
MUSC 105,MUSIC APPRECIATION,,3,Delgado Community College,MUSC,,false,lecture
MUS 1000,MUSIC APPRECIATION,,3,University of New Orleans,MUS,,false,lecture
MUSC 137,JAZZ APPRECIATION,,3,Delgado Community College,MUSC,,false,lecture
THEA 101,INTRODUCTION TO THE THEATRE,,3,Delgado Community College,THEA,,false,lecture
FTCA 1005,INTRODUCTION TO THEATRE ARTS,,3,University of New Orleans,FTCA,,false,lecture
THEA 207,CLASSICAL THEATRE,,3,Delgado Community College,THEA,,false,lecture
ARCH 180,HISTORY AND THEORY OF ARCHITECTURE,,3,Delgado Community College,ARCH,,false,lecture
FREN 101,ELEMENTARY FRENCH I,,3,Delgado Community College,FREN,,false,lecture
FREN 1001,BASIC FRENCH I,,3,University of New Orleans,FREN,,false,lecture
FREN 102,ELEMENTARY FRENCH II,,3,Delgado Community College,FREN,,false,lecture
FREN 1002,BASIC FRENCH II,,3,University of New Orleans,FREN,,false,lecture
FREN 125,FRENCH CULTURE AROUND THE WORLD,,3,Delgado Community College,FREN,,false,lecture
FREN 201,INTERMEDIATE FRENCH I,,3,Delgado Community College,FREN,,false,lecture
FREN 2001,INTERMEDIATE FRENCH I,,3,University of New Orleans,FREN,,false,lecture
FREN 202,INTERMEDIATE FRENCH II,,3,Delgado Community College,FREN,,false,lecture
